 variables = "X","Y","Z","Cp","T","Cfx","Cfy","Cfz","Cf","u","v","w","yplus","PR"
 zone j=           6
  0.000000000000000E+000  0.500097000000000        1.00000000000000     
  -339.730969552518        1.08383735558367       0.000000000000000E+000
 -0.105692807434763       0.000000000000000E+000  0.105692807434763     
 -6.172556783833111E-002  -2.48133893038537       0.000000000000000E+000
   12.5913666530432       0.976218832536315     
  0.000000000000000E+000  0.500133000000000        1.00000000000000     
  -208.723986061683        1.02015632883908       0.000000000000000E+000
 -0.134089974276566       0.000000000000000E+000  0.134089974276566     
 -0.179072070106406       -2.46410233787911       0.000000000000000E+000
   13.2445107280061       0.985389321224501     
  0.000000000000000E+000  0.500177182360277        1.00000000000000     
  -204.096743723663        1.01290187753770       0.000000000000000E+000
 -0.132323592138406       0.000000000000000E+000  0.132323592138406     
 -0.267435339805610       -2.43985385790250       0.000000000000000E+000
   13.2729169245490       0.985713228182646     
  0.000000000000000E+000  0.500231206709087        1.00000000000000     
  -200.266227324239        1.00636574290856       0.000000000000000E+000
 -0.130447550890295       0.000000000000000E+000  0.130447550890295     
 -0.316911653633801       -2.41320166996674       0.000000000000000E+000
   13.2837430457186       0.985981364326039     
  0.000000000000000E+000  0.500296967570024        1.00000000000000     
  -197.811491848346        1.00176922302060       0.000000000000000E+000
 -0.128839554200110       0.000000000000000E+000  0.128839554200110     
 -0.329418133827594       -2.38862398335810       0.000000000000000E+000
   13.2674601425706       0.986153195806425     
  0.000000000000000E+000  0.500376575723381        1.00000000000000     
  -196.693776057742       0.999415755049694       0.000000000000000E+000
 -0.127600969537121       0.000000000000000E+000  0.127600969537121     
 -0.318400101800022       -2.36733200493448       0.000000000000000E+000
   13.2258958533011       0.986231435910435     
  0.000000000000000E+000  0.500472308040192        1.00000000000000     
  -196.221289209734       0.998582501327298       0.000000000000000E+000
 -0.126513861509569       0.000000000000000E+000  0.126513861509569     
 -0.297636628078120       -2.34656043722712       0.000000000000000E+000
   13.1652853582812       0.986264509989233     
 zone i=         101
  0.000000000000000E+000  0.000000000000000E+000   1.00000000000000     
  -3966.79868008684       0.619634128044141       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
   159.270444854280      -4.151963779544646E-002  0.000000000000000E+000
   650.589453444091       0.722324097122714     
  3.330000000000000E-003  0.000000000000000E+000   1.00000000000000     
  -3965.89753827105       0.619649584233481       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
   159.268013392766      -4.123140088337723E-002  0.000000000000000E+000
   650.618141941559       0.722387177048745     
  6.780000000000000E-003  0.000000000000000E+000   1.00000000000000     
  -3964.98223354027       0.619665282026031       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
   159.265544176971      -4.093251785197751E-002  0.000000000000000E+000
   650.625492814408       0.722451248378808     
  1.030000000000000E-002  0.000000000000000E+000   1.00000000000000     
  -3964.04558177336       0.619681344757527       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
   159.263017716931      -4.062196170147748E-002  0.000000000000000E+000
   650.632996763820       0.722516814001375     
  1.400000000000000E-002  0.000000000000000E+000   1.00000000000000     
  -3963.08285488720       0.619697853382007       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
   159.260421262439      -4.029948947282684E-002  0.000000000000000E+000
   650.640712998999       0.722584204882259     
  1.780000000000000E-002  0.000000000000000E+000   1.00000000000000     
  -3962.09961118621       0.619714713196237       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
   159.257769633421      -3.996850174244981E-002  0.000000000000000E+000
   650.648576268525       0.722653031940156     
