variables = "X","Y","Z","HL","rh","u","v","w","p","T", "vor_x","vor_y","vor_z","Vor","Q_cri","Mach"
 zone i=          81  j=          81
-0.882233D+00  0.000000D+00  0.100000D+01 1 0.114371D+01  0.160011D+03  0.000000D+00  0.000000D+00  0.703285D+00  0.614912D+00  0.000000D+00  0.000000D+00 -0.180440D-01  0.180440D-01 -0.717036D-07  0.204199D+01
-0.851324D+00  0.000000D+00  0.100000D+01 1 0.114009D+01  0.160132D+03  0.000000D+00  0.000000D+00  0.700174D+00  0.614137D+00  0.000000D+00  0.000000D+00 -0.116028D-01  0.116028D-01 -0.334103D-07  0.204482D+01
-0.820812D+00  0.000000D+00  0.100000D+01 1 0.113830D+01  0.160191D+03  0.000000D+00  0.000000D+00  0.698635D+00  0.613754D+00  0.000000D+00  0.000000D+00 -0.268332D-02  0.268332D-02 -0.484514D-08  0.204622D+01
-0.790734D+00  0.000000D+00  0.100000D+01 1 0.113815D+01  0.160195D+03  0.000000D+00  0.000000D+00  0.698510D+00  0.613725D+00  0.000000D+00  0.000000D+00  0.167117D-02  0.167117D-02  0.141413D-08  0.204632D+01
-0.761123D+00  0.000000D+00  0.100000D+01 1 0.113886D+01  0.160171D+03  0.000000D+00  0.000000D+00  0.699119D+00  0.613879D+00  0.000000D+00  0.000000D+00  0.375491D-02  0.375491D-02  0.377810D-09  0.204575D+01
-0.732011D+00  0.000000D+00  0.100000D+01 1 0.114009D+01  0.160129D+03  0.000000D+00  0.000000D+00  0.700185D+00  0.614147D+00  0.000000D+00  0.000000D+00  0.541709D-02  0.541709D-02 -0.239855D-08  0.204477D+01
-0.703429D+00  0.000000D+00  0.100000D+01 1 0.114173D+01  0.160074D+03  0.000000D+00  0.000000D+00  0.701596D+00  0.614501D+00  0.000000D+00  0.000000D+00  0.631385D-02  0.631385D-02 -0.519517D-08  0.204347D+01
-0.675403D+00  0.000000D+00  0.100000D+01 1 0.114359D+01  0.160011D+03  0.000000D+00  0.000000D+00  0.703197D+00  0.614902D+00  0.000000D+00  0.000000D+00  0.654803D-02  0.654803D-02 -0.678265D-08  0.204201D+01
-0.647956D+00  0.000000D+00  0.100000D+01 1 0.114555D+01  0.159945D+03  0.000000D+00  0.000000D+00  0.704881D+00  0.615323D+00  0.000000D+00  0.000000D+00  0.651467D-02  0.651467D-02 -0.746811D-08  0.204047D+01
-0.621112D+00  0.000000D+00  0.100000D+01 1 0.114754D+01  0.159878D+03  0.000000D+00  0.000000D+00  0.706600D+00  0.615751D+00  0.000000D+00  0.000000D+00  0.634308D-02  0.634308D-02 -0.752493D-08  0.203890D+01
-0.594887D+00  0.000000D+00  0.100000D+01 1 0.114945D+01  0.159814D+03  0.000000D+00  0.000000D+00  0.708248D+00  0.616161D+00  0.000000D+00  0.000000D+00  0.555361D-02  0.555361D-02 -0.634426D-08  0.203741D+01
-0.569299D+00  0.000000D+00  0.100000D+01 1 0.115117D+01  0.159757D+03  0.000000D+00  0.000000D+00  0.709732D+00  0.616530D+00  0.000000D+00  0.000000D+00  0.475058D-02  0.475058D-02 -0.501246D-08  0.203607D+01
-0.544361D+00  0.000000D+00  0.100000D+01 1 0.115272D+01  0.159705D+03  0.000000D+00  0.000000D+00  0.711064D+00  0.616860D+00  0.000000D+00  0.000000D+00  0.415361D-02  0.415361D-02 -0.398222D-08  0.203486D+01
-0.520084D+00  0.000000D+00  0.100000D+01 1 0.115409D+01  0.159659D+03  0.000000D+00  0.000000D+00  0.712252D+00  0.617154D+00  0.000000D+00  0.000000D+00  0.348390D-02  0.348390D-02 -0.301206D-08  0.203379D+01
-0.496477D+00  0.000000D+00  0.100000D+01 1 0.115529D+01  0.159619D+03  0.000000D+00  0.000000D+00  0.713291D+00  0.617411D+00  0.000000D+00  0.000000D+00  0.293926D-02  0.293926D-02 -0.222226D-08  0.203286D+01
-0.473545D+00  0.000000D+00  0.100000D+01 1 0.115631D+01  0.159585D+03  0.000000D+00  0.000000D+00  0.714174D+00  0.617629D+00  0.000000D+00  0.000000D+00  0.230383D-02  0.230383D-02 -0.148097D-08  0.203207D+01
-0.451293D+00  0.000000D+00  0.100000D+01 1 0.115716D+01  0.159556D+03  0.000000D+00  0.000000D+00  0.714906D+00  0.617810D+00  0.000000D+00  0.000000D+00  0.186877D-02  0.186877D-02 -0.101458D-08  0.203141D+01
-0.429723D+00  0.000000D+00  0.100000D+01 1 0.115786D+01  0.159533D+03  0.000000D+00  0.000000D+00  0.715509D+00  0.617959D+00  0.000000D+00  0.000000D+00  0.142811D-02  0.142811D-02 -0.649769D-09  0.203087D+01
