variables = "Iteration","CPU seconds","Wall clock","L_2 norm of density","L_2 norm of k","L_2 norm of `e"
     79       0.0       1.4   0.499730D-02   0.123209D+00   0.690450D-04
     80       0.0       1.4   0.500932D-02   0.127984D+00   0.718666D-04
     81       0.0       1.4   0.499192D-02   0.133163D+00   0.747900D-04
     82       0.0       1.4   0.500203D-02   0.138870D+00   0.778136D-04
     83       0.0       1.5   0.501365D-02   0.144475D+00   0.809354D-04
     84       0.0       1.5   0.502530D-02   0.150573D+00   0.841534D-04
     85       0.0       1.5   0.503616D-02   0.157274D+00   0.874654D-04
     86       0.0       1.5   0.502291D-02   0.164166D+00   0.908690D-04
     87       0.0       1.5   0.502147D-02   0.170762D+00   0.943614D-04
     88       0.0       1.5   0.503298D-02   0.176697D+00   0.979397D-04
     89       0.0       1.6   0.504315D-02   0.184279D+00   0.101601D-03
     90       0.0       1.6   0.505410D-02   0.192347D+00   0.105341D-03
     91       0.0       1.6   0.506169D-02   0.199724D+00   0.109157D-03
     92       0.0       1.6   0.503944D-02   0.208089D+00   0.113045D-03
     93       0.0       1.6   0.504766D-02   0.216949D+00   0.117001D-03
     94       0.0       1.7   0.505619D-02   0.225081D+00   0.121020D-03
     95       0.0       1.7   0.506457D-02   0.233390D+00   0.125098D-03
     96       0.0       1.7   0.507356D-02   0.242705D+00   0.129233D-03
     97       0.0       1.7   0.505815D-02   0.252698D+00   0.133423D-03
     98       1.0       1.7   0.506052D-02   0.262491D+00   0.137662D-03
     99       1.0       1.7   0.506783D-02   0.273047D+00   0.141943D-03
    100       1.0       1.8   0.507561D-02   0.284649D+00   0.146260D-03
    101       1.0       1.8   0.508292D-02   0.294917D+00   0.150610D-03
    102       1.0       1.8   0.509050D-02   0.305798D+00   0.154992D-03
    103       1.0       1.8   0.506955D-02   0.317448D+00   0.159402D-03
    104       1.0       1.8   0.507912D-02   0.330248D+00   0.163838D-03
    105       1.0       1.8   0.508689D-02   0.342882D+00   0.168293D-03
    106       1.0       1.9   0.509417D-02   0.356865D+00   0.172761D-03
    107       1.0       1.9   0.510104D-02   0.370961D+00   0.177236D-03
    108       1.0       1.9   0.510325D-02   0.385352D+00   0.181712D-03
    109       1.0       1.9   0.508436D-02   0.399043D+00   0.186186D-03
    110       1.0       1.9   0.509448D-02   0.414013D+00   0.190656D-03
    111       1.0       1.9   0.510367D-02   0.430005D+00   0.195120D-03
    112       1.0       2.0   0.511209D-02   0.446782D+00   0.199549D-03
    113       1.0       2.0   0.511949D-02   0.464296D+00   0.203950D-03
    114       1.0       2.0   0.511821D-02   0.483406D+00   0.208344D-03
    115       1.0       2.0   0.510373D-02   0.502040D+00   0.212731D-03
    116       1.0       2.0   0.511231D-02   0.520248D+00   0.217112D-03
    117       1.0       2.1   0.512254D-02   0.538972D+00   0.221458D-03
    118       1.0       2.1   0.513273D-02   0.559802D+00   0.226043D-03
    119       1.0       2.1   0.514229D-02   0.581055D+00   0.230512D-03
    120       1.0       2.1   0.514594D-02   0.604162D+00   0.234942D-03
    121       1.0       2.1   0.512676D-02   0.630039D+00   0.239394D-03
    122       1.0       2.1   0.513580D-02   0.654457D+00   0.243849D-03
    123       1.0       2.2   0.514444D-02   0.679048D+00   0.248326D-03
    124       1.0       2.2   0.515594D-02   0.703484D+00   0.252859D-03
    125       1.0       2.2   0.516715D-02   0.728693D+00   0.257453D-03
    126       1.0       2.2   0.517608D-02   0.756942D+00   0.262113D-03
    127       1.0       2.2   0.515624D-02   0.788344D+00   0.266847D-03
    128       1.0       2.3   0.516336D-02   0.822134D+00   0.271667D-03
    129       1.0       2.3   0.517284D-02   0.855592D+00   0.276605D-03
    130       1.0       2.3   0.518391D-02   0.889725D+00   0.281663D-03
    131       1.0       2.3   0.519753D-02   0.920775D+00   0.286852D-03
