variables = "X","Y","Z","HL","rh","u","v","w","p","T", "vor_x","vor_y","vor_z","Vor","Q_cri","Mach"
 zone i=         101  j=          87
 0.240093D+01  0.581499D+00  0.100000D+01 1 0.952310D+00  0.515185D+02 -0.156249D+01  0.000000D+00  0.960207D+00  0.100829D+01  0.000000D+00  0.000000D+00  0.384191D+03  0.384191D+03  0.828081D+03  0.513665D+00
 0.248064D+01  0.584189D+00  0.100000D+01 1 0.951989D+00  0.496425D+02 -0.107475D+01  0.000000D+00  0.961595D+00  0.101009D+01  0.000000D+00  0.000000D+00  0.359547D+03  0.359547D+03  0.129264D+04  0.494408D+00
 0.256281D+01  0.586962D+00  0.100000D+01 1 0.951831D+00  0.482957D+02 -0.308375D+00  0.000000D+00  0.962808D+00  0.101153D+01  0.000000D+00  0.000000D+00  0.342578D+03  0.342578D+03  0.186489D+04  0.480549D+00
 0.264750D+01  0.589820D+00  0.100000D+01 1 0.952946D+00  0.478798D+02  0.814048D+00  0.000000D+00  0.965005D+00  0.101265D+01  0.000000D+00  0.000000D+00  0.336094D+03  0.336094D+03  0.256433D+04  0.476206D+00
 0.273479D+01  0.592766D+00  0.100000D+01 1 0.952755D+00  0.485269D+02  0.209048D+01  0.000000D+00  0.964486D+00  0.101231D+01  0.000000D+00  0.000000D+00  0.333743D+03  0.333743D+03  0.238306D+04  0.483102D+00
 0.282475D+01  0.595802D+00  0.100000D+01 1 0.950568D+00  0.498815D+02  0.294027D+01  0.000000D+00  0.960215D+00  0.101015D+01  0.000000D+00  0.000000D+00  0.328861D+03  0.328861D+03  0.103761D+04  0.497520D+00
 0.291746D+01  0.598931D+00  0.100000D+01 1 0.949203D+00  0.514930D+02  0.314795D+01  0.000000D+00  0.956184D+00  0.100735D+01  0.000000D+00  0.000000D+00  0.326525D+03  0.326525D+03  0.127620D+03  0.514372D+00
 0.301300D+01  0.602155D+00  0.100000D+01 1 0.948638D+00  0.531143D+02  0.299627D+01  0.000000D+00  0.952946D+00  0.100454D+01  0.000000D+00  0.000000D+00  0.325097D+03  0.325097D+03 -0.212614D+03  0.531163D+00
 0.311143D+01  0.605477D+00  0.100000D+01 1 0.948437D+00  0.545692D+02  0.266737D+01  0.000000D+00  0.950452D+00  0.100212D+01  0.000000D+00  0.000000D+00  0.320654D+03  0.320654D+03 -0.474034D+03  0.546154D+00
 0.321285D+01  0.608899D+00  0.100000D+01 1 0.948197D+00  0.557540D+02  0.222199D+01  0.000000D+00  0.948443D+00  0.100026D+01  0.000000D+00  0.000000D+00  0.315134D+03  0.315134D+03 -0.588730D+03  0.558309D+00
 0.331733D+01  0.612426D+00  0.100000D+01 1 0.947941D+00  0.566307D+02  0.171008D+01  0.000000D+00  0.947102D+00  0.999114D+00  0.000000D+00  0.000000D+00  0.308531D+03  0.308531D+03 -0.667262D+03  0.567222D+00
 0.342497D+01  0.616058D+00  0.100000D+01 1 0.947352D+00  0.571219D+02  0.112092D+01  0.000000D+00  0.945922D+00  0.998491D+00  0.000000D+00  0.000000D+00  0.299918D+03  0.299918D+03 -0.792411D+03  0.572169D+00
