variables = "X","Y","Z","HL","rh","u","v","w","p","T","vor_x","vor_y","vor_z","Vor","Q_x","Q_y","Q_z","Q_cri"
 zone i=         101  j=          81
 0.763145D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.105940D+01  0.116279D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.202287D+01  0.202287D+01  0.000000D+00  0.000000D+00  0.244343D-02  0.244343D-02
 0.713550D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.106442D+01  0.115087D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.168955D+01  0.168955D+01  0.000000D+00  0.000000D+00  0.201371D-02  0.201371D-02
 0.667657D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.106972D+01  0.113989D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.142537D+01  0.142537D+01  0.000000D+00  0.000000D+00  0.170858D-02  0.170858D-02
 0.625191D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.107535D+01  0.112954D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.125120D+01  0.125120D+01  0.000000D+00  0.000000D+00  0.154354D-02  0.154354D-02
 0.585894D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.108136D+01  0.111948D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.117336D+01  0.117336D+01  0.000000D+00  0.000000D+00  0.155377D-02  0.155377D-02
 0.549530D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.108780D+01  0.110950D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.119102D+01  0.119102D+01  0.000000D+00  0.000000D+00  0.168950D-02  0.168950D-02
 0.515882D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.109469D+01  0.109957D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.130654D+01  0.130654D+01  0.000000D+00  0.000000D+00  0.199773D-02  0.199773D-02
 0.484744D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.110207D+01  0.108945D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.151962D+01  0.151962D+01  0.000000D+00  0.000000D+00  0.261729D-02  0.261729D-02
 0.455932D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.111002D+01  0.107865D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.180127D+01  0.180127D+01  0.000000D+00  0.000000D+00  0.365509D-02  0.365509D-02
 0.429270D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.111839D+01  0.106671D+00  0.000000D+00  0.100001D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.195354D+01  0.195354D+01  0.000000D+00  0.000000D+00  0.479733D-02  0.479733D-02
 0.404598D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.112657D+01  0.105346D+00  0.000000D+00  0.100001D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.182543D+01  0.182543D+01  0.000000D+00  0.000000D+00  0.532317D-02  0.532317D-02
 0.381768D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.113383D+01  0.103892D+00  0.000000D+00  0.100001D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.160604D+01  0.160604D+01  0.000000D+00  0.000000D+00  0.553939D-02  0.553939D-02
 0.360642D+01  0.000000D+00  0.000000D+00 1 0.100000D+01  0.113975D+01  0.102285D+00  0.000000D+00  0.100001D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.150126D+01  0.150126D+01  0.000000D+00  0.000000D+00  0.622644D-02  0.622644D-02
 0.341093D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.114413D+01  0.100471D+00  0.000000D+00  0.100001D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.157130D+01  0.157130D+01  0.000000D+00  0.000000D+00  0.803656D-02  0.803656D-02
 0.323004D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.114695D+01  0.984297D-01  0.000000D+00  0.100001D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.182515D+01  0.182515D+01  0.000000D+00  0.000000D+00  0.111925D-01  0.111925D-01
 0.306264D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.114843D+01  0.961917D-01  0.000000D+00  0.100001D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.219919D+01  0.219919D+01  0.000000D+00  0.000000D+00  0.158104D-01  0.158104D-01
 0.290775D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.114896D+01  0.937807D-01  0.000000D+00  0.100001D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.256086D+01  0.256086D+01  0.000000D+00  0.000000D+00  0.213002D-01  0.213002D-01
