variables = "Time", "roll","yaw", "pitch", "Cx","Cy","Cz"
      1   0.000000D+00   0.000000D+00   0.160000D+02   0.304903D+01   0.175337D+02   0.000000D+00
      2   0.000000D+00   0.000000D+00   0.160000D+02   0.477862D+01   0.277090D+02   0.000000D+00
      3   0.000000D+00   0.000000D+00   0.160000D+02   0.569505D+01   0.330557D+02   0.000000D+00
      4   0.000000D+00   0.000000D+00   0.160000D+02   0.617777D+01   0.357294D+02   0.000000D+00
      5   0.000000D+00   0.000000D+00   0.160000D+02   0.641572D+01   0.367906D+02   0.000000D+00
      6   0.000000D+00   0.000000D+00   0.160000D+02   0.651466D+01   0.370050D+02   0.000000D+00
      7   0.000000D+00   0.000000D+00   0.160000D+02   0.653388D+01   0.368342D+02   0.000000D+00
      8   0.000000D+00   0.000000D+00   0.160000D+02   0.651045D+01   0.365763D+02   0.000000D+00
      9   0.000000D+00   0.000000D+00   0.160000D+02   0.646880D+01   0.364186D+02   0.000000D+00
     10   0.000000D+00   0.000000D+00   0.160000D+02   0.642667D+01   0.363700D+02   0.000000D+00
     11   0.000000D+00   0.000000D+00   0.160000D+02   0.639539D+01   0.363804D+02   0.000000D+00
     12   0.000000D+00   0.000000D+00   0.160000D+02   0.637271D+01   0.364104D+02   0.000000D+00
     13   0.000000D+00   0.000000D+00   0.160000D+02   0.635338D+01   0.364287D+02   0.000000D+00
     14   0.000000D+00   0.000000D+00   0.160000D+02   0.633383D+01   0.364249D+02   0.000000D+00
     15   0.000000D+00   0.000000D+00   0.160000D+02   0.631252D+01   0.364066D+02   0.000000D+00
     16   0.000000D+00   0.000000D+00   0.160000D+02   0.628803D+01   0.363797D+02   0.000000D+00
     17   0.000000D+00   0.000000D+00   0.160000D+02   0.626080D+01   0.363509D+02   0.000000D+00
     18   0.000000D+00   0.000000D+00   0.160000D+02   0.623223D+01   0.363244D+02   0.000000D+00
     19   0.000000D+00   0.000000D+00   0.160000D+02   0.620348D+01   0.363008D+02   0.000000D+00
     20   0.000000D+00   0.000000D+00   0.160000D+02   0.617506D+01   0.362785D+02   0.000000D+00
     21   0.000000D+00   0.000000D+00   0.160000D+02   0.614692D+01   0.362562D+02   0.000000D+00
     22   0.000000D+00   0.000000D+00   0.160000D+02   0.611884D+01   0.362328D+02   0.000000D+00
     23   0.000000D+00   0.000000D+00   0.160000D+02   0.609060D+01   0.362082D+02   0.000000D+00
     24   0.000000D+00   0.000000D+00   0.160000D+02   0.606195D+01   0.361824D+02   0.000000D+00
     25   0.000000D+00   0.000000D+00   0.160000D+02   0.603276D+01   0.361556D+02   0.000000D+00
     26   0.000000D+00   0.000000D+00   0.160000D+02   0.600299D+01   0.361279D+02   0.000000D+00
     27   0.000000D+00   0.000000D+00   0.160000D+02   0.597272D+01   0.360996D+02   0.000000D+00
     28   0.000000D+00   0.000000D+00   0.160000D+02   0.594205D+01   0.360706D+02   0.000000D+00
     29   0.000000D+00   0.000000D+00   0.160000D+02   0.591104D+01   0.360410D+02   0.000000D+00
     30   0.000000D+00   0.000000D+00   0.160000D+02   0.587972D+01   0.360106D+02   0.000000D+00
     31   0.000000D+00   0.000000D+00   0.160000D+02   0.584808D+01   0.359793D+02   0.000000D+00
     32   0.000000D+00   0.000000D+00   0.160000D+02   0.581612D+01   0.359472D+02   0.000000D+00
     33   0.000000D+00   0.000000D+00   0.160000D+02   0.578382D+01   0.359142D+02   0.000000D+00
     34   0.000000D+00   0.000000D+00   0.160000D+02   0.575115D+01   0.358803D+02   0.000000D+00
     35   0.000000D+00   0.000000D+00   0.160000D+02   0.571810D+01   0.358454D+02   0.000000D+00
     36   0.000000D+00   0.000000D+00   0.160000D+02   0.568467D+01   0.358096D+02   0.000000D+00
     37   0.000000D+00   0.000000D+00   0.160000D+02   0.565085D+01   0.357727D+02   0.000000D+00
     38   0.000000D+00   0.000000D+00   0.160000D+02   0.561665D+01   0.357347D+02   0.000000D+00
