variables = "Iteration", "CPU seconds","Wall clock","L_2 norm of density","C_L","C_DT","C_DP","C_DF","C_M","L_2 norm of k", "L_2 norm of `e"
     45      1.0      2.7   0.190567D+00      9.083245      6.087958      5.986260      0.101698     -6.669699   0.367952D+00   0.875330D-01
     46      1.0      2.8   0.187527D+00      9.078870      6.047395      5.945798      0.101597     -6.652664   0.362813D+00   0.866114D-01
     47      1.0      2.9   0.184612D+00      9.074410      6.006356      5.904862      0.101495     -6.635048   0.357805D+00   0.856861D-01
     48      1.0      2.9   0.181801D+00      9.069856      5.964841      5.863448      0.101393     -6.616836   0.352932D+00   0.847577D-01
     49      1.0      3.0   0.179126D+00      9.065201      5.922848      5.821557      0.101291     -6.598012   0.348187D+00   0.838273D-01
     50      1.0      3.0   0.176555D+00      9.060439      5.880376      5.779188      0.101189     -6.578562   0.343561D+00   0.828955D-01
     51      1.0      3.1   0.174086D+00      9.055561      5.837424      5.736338      0.101086     -6.558470   0.339046D+00   0.819623D-01
     52      1.0      3.2   0.171727D+00      9.050554      5.793989      5.693005      0.100984     -6.537721   0.334642D+00   0.810284D-01
     53      1.0      3.2   0.169460D+00      9.045402      5.750064      5.649183      0.100881     -6.516297   0.330348D+00   0.800937D-01
     54      1.0      3.3   0.167298D+00      9.040096      5.705645      5.604867      0.100778     -6.494184   0.326162D+00   0.791592D-01
     55      1.0      3.4   0.165216D+00      9.034627      5.660731      5.560055      0.100675     -6.471368   0.322094D+00   0.782253D-01
     56      1.0      3.4   0.163218D+00      9.028984      5.615317      5.514745      0.100572     -6.447833   0.318146D+00   0.772923D-01
     57      1.0      3.5   0.161316D+00      9.023156      5.569401      5.468932      0.100469     -6.423565   0.314314D+00   0.763605D-01
     58      2.0      3.5   0.159486D+00      9.017130      5.522980      5.422614      0.100366     -6.398553   0.310593D+00   0.754308D-01
     59      2.0      3.6   0.157723D+00      9.010893      5.476049      5.375787      0.100262     -6.372786   0.306979D+00   0.745027D-01
     60      2.0      3.7   0.156047D+00      9.004435      5.428606      5.328448      0.100158     -6.346250   0.303469D+00   0.735765D-01
     61      2.0      3.7   0.154432D+00      8.997743      5.380646      5.280592      0.100055     -6.318932   0.300059D+00   0.726527D-01
     62      2.0      3.8   0.152884D+00      8.990806      5.332166      5.232215      0.099951     -6.290816   0.296747D+00   0.717323D-01
     63      2.0      3.9   0.151402D+00      8.983617      5.283163      5.183316      0.099847     -6.261891   0.293528D+00   0.708155D-01
     64      2.0      3.9   0.149976D+00      8.976172      5.233636      5.133893      0.099743     -6.232148   0.290400D+00   0.699018D-01
